page	sort	Uppercase	Title Case	Title for Indexing	Disambiguation Key	Uppercase + Key	Title + Key	Indexing + Key	Short Attribution	Italicize short attribution?	Living composer / arranger?	Arr. status
151	151	SYMPHONY	Symphony	Symphony		SYMPHONY	Symphony	Symphony	Morgan		-	
152	152	SHEPHERDS REJOICE	Shepherds Rejoice	Shepherds Rejoice		SHEPHERDS REJOICE	Shepherds Rejoice	Shepherds Rejoice	Breedlove		-	
153	153	RESURRECTED	Resurrected	Resurrected		RESURRECTED	Resurrected	Resurrected	Denson		-	Arr.
154	154	REST FOR THE WEARY	Rest for the Weary	Rest for the Weary		REST FOR THE WEARY	Rest for the Weary	Rest for the Weary	McDonald & Dadmun		-	Arr. from
155	155	NORTHFIELD	Northfield	Northfield		NORTHFIELD	Northfield	Northfield	Ingalls		-	
156	156	JESUS ROSE	Jesus Rose	Jesus Rose		JESUS ROSE	Jesus Rose	Jesus Rose	Rees		-	
157	157	ESSAY	Essay	Essay		ESSAY	Essay	Essay	Clark		-	
158	158	FUNERAL THOUGHT	Funeral Thought	Funeral Thought		FUNERAL THOUGHT	Funeral Thought	Funeral Thought	Caldwell		-	
159	159	WONDROUS LOVE	Wondrous Love	Wondrous Love		WONDROUS LOVE	Wondrous Love	Wondrous Love	Christopher		-	
160t	160.1	PROSPERITY	Prosperity	Prosperity		PROSPERITY	Prosperity	Prosperity	Breedlove		-	
160b	160.2	TURN, SINNER, TURN	Turn, Sinner, Turn	Turn, Sinner, Turn		TURN, SINNER, TURN	Turn, Sinner, Turn	Turn, Sinner, Turn	King		-	Arr.
161	161	SOUTHMINSTER	Southminster	Southminster		SOUTHMINSTER	Southminster	Southminster	Brett		Living	
162	162	PLENARY	Plenary	Plenary		PLENARY	Plenary	Plenary	Clark		-	Arr.
163t	163.1	MORNING	Morning	Morning		MORNING	Morning	Morning	Pilsbury		-	
163b	163.2	CHINA	China	China		CHINA	China	China	Swan		-	
164	164	DUANE STREET	Duane Street	Duane Street		DUANE STREET	Duane Street	Duane Street	Coles		-	
